ID,Tx Amplitude at -6,Tx Amplitude at -5,Tx Amplitude at -4,Tx Amplitude at -3,Tx Amplitude at -2.5,Tx Amplitude at -2,Tx Amplitude at -1.5,Tx Amplitude at -1,Tx Amplitude at -0.5,Tx Amplitude at 0,Tx Amplitude at 1,Tx Amplitude at 2,Tx Amplitude at 3,Tx Amplitude at 4,Tx Phase at -6,Tx Phase at -5,Tx Phase at -4,Tx Phase at -3,Tx Phase at -2.5,Tx Phase at -2,Tx Phase at -1.5,Tx Phase at -1,Tx Phase at -0.5,Tx Phase at 0,Tx Phase at 1,Tx Phase at 2,Tx Phase at 3,Tx Phase at 4,Label,Trial
29,level,up,up,up,level,up,down,level,up,down,down,down,down,level,up,up,down,up,down,up,up,down,down,down,down,down,up,down,Hole,2
30,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
31,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
32,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
33,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
34,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
35,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
36,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
37,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
38,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
39,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
40,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
41,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
42,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
43,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
44,down,up,up,up,level,up,down,up,up,down,down,down,down,level,up,up,down,up,up,level,up,down,down,down,down,down,up,down,Hole,3
45,level,up,up,up,up,level,down,level,level,down,down,down,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
46,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
